object_id,image_name,object_id_in_image,area_px2,top_left_x,top_left_y,bottom_right_x,bottom_right_y,center,width_px,length_px,volume_px3,solidity,strict_solidity,lw_ratio,area_in2,weight_oz,Grade,Price USD
1,SamplePackingLine.png,0,18144.0,1188,1022,1379,1145,"(1282, 1087)",114.24205780029297,198.28829956054688,1381871.9311523438,0.982057319152391,0.9383275381720523,1.735685643085802,8.136548096885813,10.330534674001846,Marketable,0.56
2,SamplePackingLine.png,1,23833.0,1643,1139,1844,1422,"(1753, 1285)",93.17015838623047,338.5157470703125,1480349.5898793538,0.9500896950368746,0.8958217807883802,3.6333065536608706,10.687739792387541,15.404432898306428,Marketable,0.56
3,SamplePackingLine.png,2,30636.5,1372,1621,1569,1881,"(1461, 1736)",131.46395874023438,294.2684631347656,2685063.714630127,0.9903507354129627,0.9407708925377525,2.2383964848968536,13.738721107266434,22.254572349488175,Marketable,0.56
4,SamplePackingLine.png,3,20687.0,1193,1534,1356,1771,"(1245, 1634)",113.50896453857422,275.69219970703125,1565439.9662729898,0.9383348830880185,0.8892032128266493,2.4288143304605834,9.276938408304497,12.519176401035617,Marketable,0.56
5,SamplePackingLine.png,4,19680.0,1496,1093,1648,1318,"(1552, 1195)",104.32361602783203,253.96893310546875,1368725.8422851562,0.9534190829154858,0.904309123681717,2.434433762703485,8.825356401384083,11.636588131772788,Marketable,0.56
6,SamplePackingLine.png,5,27727.0,1987,1462,2232,1698,"(2116, 1586)",113.0101547241211,327.11553955078125,2088955.0400238035,0.9841867068950217,0.9375650304953435,2.8945676638469475,12.433976470588233,19.22788973584367,Marketable,0.56
7,SamplePackingLine.png,6,11201.5,1461,786,1701,871,"(1580, 828)",83.01517486572266,239.1780242919922,619929.6541722615,0.7137441060277813,0.6553513113426257,2.8811361859908566,5.023233217993079,5.09645869346466,Not Marketable,0.008
8,SamplePackingLine.png,7,14560.0,1305,1298,1561,1405,"(1430, 1362)",72.76028442382812,269.1391296386719,706259.8274739583,0.8910103420843277,0.848472161905064,3.6989840236321565,6.529328719723183,7.483595661809521,Marketable,0.56
9,SamplePackingLine.png,8,9647.5,1793,783,1889,972,"(1833, 881)",73.96021270751953,195.60879516601562,475687.4347305297,0.8463090486424844,0.7921866596719999,2.6447841076331584,4.32635294117647,4.094930766888889,Not Marketable,0.008
10,SamplePackingLine.png,9,23108.0,1679,1521,1842,1767,"(1760, 1648)",108.81747436523438,271.67230224609375,1676369.4650878904,0.987859097127223,0.9327223172626302,2.4965870953249136,10.362618685121106,14.722811643213225,Marketable,0.56
11,SamplePackingLine.png,10,12480.0,2180,1550,2273,1759,"(2229, 1655)",75.49919128417969,209.1967315673828,628153.271484375,0.954420312022025,0.901284080882367,2.770847316495938,5.596567474048442,5.970810223284669,Marketable,0.56
12,SamplePackingLine.png,11,16711.5,1745,1266,1909,1485,"(1824, 1372)",92.82673645019531,267.8531494140625,1034182.670791626,0.9737785158639979,0.9216898420239594,2.8855172513554304,7.494153633217992,9.157912927447438,Marketable,0.56
13,SamplePackingLine.png,12,21643.5,1895,877,2013,1113,"(1953, 994)",117.0,235.0,1688193.0,0.9923431374796543,0.9460958379807289,2.0085470085470085,9.705874048442904,13.37622842828737,Marketable,0.56
14,SamplePackingLine.png,13,32901.0,3026,1201,3229,1425,"(3131, 1306)",182.4554901123047,244.8253631591797,4001978.720123291,0.9865071512098588,0.9332925203308503,1.341836099360371,14.75422006920415,24.7053055240784,Marketable,0.56
15,SamplePackingLine.png,14,13195.5,1301,1155,1414,1311,"(1354, 1230)",107.13449096679688,153.55775451660156,942462.1170349121,0.9208304256803908,0.8145400420927926,1.4333176284394928,5.917428373702421,6.478922305574425,Marketable,0.56
16,SamplePackingLine.png,15,24716.0,2062,1180,2176,1500,"(2107, 1338)",111.46251678466797,318.7696533203125,1836605.0432332356,0.9627234838156818,0.9149197168920981,2.859882070814323,11.083714878892732,16.247701942079644,Marketable,0.56
17,SamplePackingLine.png,16,21907.5,2150,1200,2302,1450,"(2217, 1331)",106.8130111694336,264.9669189453125,1560004.0281295776,0.9332268370607029,0.880122440092252,2.4806614479298323,9.824262975778545,13.615932258290066,Marketable,0.56
18,SamplePackingLine.png,17,21567.5,1851,1439,1994,1675,"(1928, 1550)",118.07577514648438,255.22454833984375,1697732.8536478677,0.9856950252507941,0.9346937777126356,2.1615318470127605,9.67179238754325,13.307473715707674,Marketable,0.56
19,SamplePackingLine.png,18,18948.5,1958,1125,2060,1364,"(2006, 1243)",95.87884521484375,239.5110626220703,1211173.5323689778,0.9899947753396029,0.9454735315599831,2.498059525908743,8.497320415224912,11.008446472924035,Marketable,0.56
20,SamplePackingLine.png,19,8720.5,1345,1485,1485,1585,"(1418, 1530)",69.97142028808594,156.063720703125,406790.5137481689,0.987487260785868,0.9400555492733855,2.2303923524859197,3.9106463667820064,3.5316042544300124,Not Marketable,0.008
21,SamplePackingLine.png,20,79507.0,3283,437,3552,844,"(3422, 639)",260.2554626464844,397.78167724609375,13794754.045756022,0.9692429598927221,0.907913923890745,1.528427773239161,35.65435017301038,89.98554731484414,Not Marketable,0.008
22,SamplePackingLine.png,21,10037.0,1409,1143,1509,1323,"(1467, 1234)",72.52359771728516,196.34437561035156,485279.56685892737,0.9555407463823306,0.9066256887104079,2.7073170911315003,4.501021453287197,4.33938965293568,Not Marketable,0.008
23,SamplePackingLine.png,22,7825.0,1353,1156,1417,1317,"(1380, 1235)",62.71123123168945,160.72654724121094,327143.5895919799,0.9459051072831671,0.8932367411164355,2.5629627115340714,3.509065743944636,3.013238220198685,Not Marketable,0.008
24,SamplePackingLine.png,23,22451.0,3860,1226,4032,1399,"(3945, 1313)",170.69664001464844,172.0712127685547,2554873.509979248,0.9872694092038433,0.9427410867233181,1.0080527229697567,10.067991695501728,14.113644884352306,Marketable,0.56
25,SamplePackingLine.png,24,2590.0,1341,1157,1417,1247,"(1367, 1191)",69.19292449951172,92.54689025878906,119473.11630249022,0.6444389151530231,0.5525815499632608,1.337519564727202,1.1614671280276816,0.5964349090823131,Not Marketable,0.008
26,SamplePackingLine.png,25,1872.0,1421,1197,1454,1319,"(1437, 1257)",32.0,121.0,39936.0,0.7612850752338349,0.7183249461358582,3.78125,0.8394851211072664,0.3706866642913141,Not Marketable,0.008
